ID,Name,Description
1,Coronary Artery Disease,A condition characterized by narrowing of the coronary arteries.
2,Chronic Kidney Disease,A long-term condition where the kidneys don't work as well as they should.
3,Gastroesophageal Reflux Disease (GERD),A digestive disorder that affects the lower esophageal sphincter.
4,Parkinson's Disease,A neurodegenerative disorder that affects movement.
5,Hypertension,A condition in which the force of the blood against the artery walls is too high.
6,Diabetes,A metabolic disorder characterized by high blood sugar levels.
7,Irritable Bowel Syndrome (IBS),"A gastrointestinal disorder causing pain, bloating, and altered bowel habits."
8,Alzheimer's Disease,A progressive neurologic disorder that causes the brain to shrink (atrophy).
9,Heart Failure,A condition in which the heart is unable to pump sufficiently to maintain blood flow.
10,Stroke,A condition where the blood supply to part of your brain is interrupted or reduced.
