ID,Name,Description
1,Low-Carb Diet,Reduced carbohydrate intake.
2,Low-Sodium Diet,Reduced sodium intake.
3,High-Protein Diet,Increased protein intake.
4,Vegetarian Diet,Excludes meat and fish.
5,Keto Diet,"Low-carb, high-fat diet."
6,Mediterranean Diet,"High in vegetables, fruits, nuts, and whole grains."
7,Intermittent Fasting,Eating patterns that cycle between periods of fasting and eating.
8,DASH Diet,"Emphasizes vegetables, fruits, and low-fat dairy."
9,Paleo Diet,Focuses on foods similar to what might have been eaten during the Paleolithic era.
10,Gluten-Free Diet,"Excludes gluten, a protein found in wheat, barley, and rye."
