ID,Name,Dosage,Frequency
1,Metformin,500mg,Twice a day
2,Lisinopril,10mg,Once a day
3,Albuterol,2.5mg,As needed
4,Paracetamol,500mg,Every 6 hours
5,Aspirin,81mg,Once a day
6,Omeprazole,20mg,Once a day
7,Levothyroxine,50mcg,Once a day
8,Atorvastatin,40mg,Once a day
9,Losartan,50mg,Once a day
10,Hydrochlorothiazide,25mg,Once a day
11,Ibuprofen,200mg,Every 4-6 hours
12,Amoxicillin,500mg,Every 8 hours
13,Azithromycin,250mg,Once a day
14,Clopidogrel,75mg,Once a day
15,Furosemide,40mg,Once a day
16,Gabapentin,300mg,Three times a day
17,Glipizide,5mg,Once a day
18,Metoprolol,50mg,Twice a day
19,Montelukast,10mg,Once a day
20,Prednisone,5mg,Once a day
21,Rosuvastatin,20mg,Once a day
22,Simvastatin,20mg,Once a day
23,Tramadol,50mg,Every 4-6 hours
24,Warfarin,5mg,Once a day
25,Zolpidem,10mg,Once a day
26,Cetirizine,10mg,Once a day
27,Doxycycline,100mg,Twice a day
28,Famotidine,20mg,Twice a day
29,Fluoxetine,20mg,Once a day
30,Loratadine,10mg,Once a day
